file,text_id,strategy,error,parse_success
Results/Readability_Results/dataset_with_readability.csv,39,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,39,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,39,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,40,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,40,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,40,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,40,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,41,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,41,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,41,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,41,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,42,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,42,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,42,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,42,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,43,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,43,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,43,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,43,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,44,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,44,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,44,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,44,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,45,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,45,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,45,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,45,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,46,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,46,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,46,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,46,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,47,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,47,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,47,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,47,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,48,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,48,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,48,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,48,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,49,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,49,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,49,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,49,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,50,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,50,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,50,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,50,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,51,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,51,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,51,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,51,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,52,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,52,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,52,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,52,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,53,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,53,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,53,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,53,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,54,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,54,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,54,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,54,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,55,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,55,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,55,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,55,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,56,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,56,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,56,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,56,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,57,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,57,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,57,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,57,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,58,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,58,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,58,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,58,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,59,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,59,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,59,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,59,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,60,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,60,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,60,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,60,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,61,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,61,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,61,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,61,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,62,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,62,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,62,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,62,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,63,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,63,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,63,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,63,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,64,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,64,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,64,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,64,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,65,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,65,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,65,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,65,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,66,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,66,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,66,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,66,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,67,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,67,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,67,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,67,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,68,lexical,Connection error.,False
