text_id,kendall_tau,p_value
CT0111,0.3333333333333334,0.75
CT0112,-0.3333333333333334,0.75
CT0113,-0.3333333333333334,0.75
CT0114,0.3333333333333334,0.75
CT0115,-0.3333333333333334,0.75
CT0116,0.3333333333333334,0.75
CT0117,0.3333333333333334,0.75
CT0118,0.3333333333333334,0.75
CT0119,-0.6666666666666669,0.3333333333333333
CT0120,0.0,1.0
CT0121,0.3333333333333334,0.75
CT0122,1.0,0.08333333333333333
CT0123,-0.6666666666666669,0.3333333333333333
CT0124,-0.6666666666666669,0.3333333333333333
CT0125,0.0,1.0
CT0126,0.3333333333333334,0.75
CT0127,0.6666666666666669,0.3333333333333333
CT0128,0.6666666666666669,0.3333333333333333
CT0129,0.0,1.0
CT0130,0.0,1.0
CT0131,0.3333333333333334,0.75
CT0132,-0.3333333333333334,0.75
CT0133,0.3333333333333334,0.75
CT0134,0.6666666666666669,0.3333333333333333
CT0135,0.6666666666666669,0.3333333333333333
CT0136,1.0,0.08333333333333333
CT0137,0.3333333333333334,0.75
CT0138,0.6666666666666669,0.3333333333333333
CT0139,0.3333333333333334,0.75
CT0140,0.6666666666666669,0.3333333333333333
CT0141,0.3333333333333334,0.75
CT0142,0.3333333333333334,0.75
CT0143,0.6666666666666669,0.3333333333333333
CT0144,-0.3333333333333334,0.75
CT0145,0.3333333333333334,0.75
CT0146,0.6666666666666669,0.3333333333333333
CT0147,0.6666666666666669,0.3333333333333333
CT0148,-0.3333333333333334,0.75
CT0149,-0.3333333333333334,0.75
CT0150,0.3333333333333334,0.75
CT0151,0.6666666666666669,0.3333333333333333
CT0152,0.0,1.0
CT0153,1.0,0.08333333333333333
CT0154,0.3333333333333334,0.75
CT0155,0.3333333333333334,0.75
CT0156,0.6666666666666669,0.3333333333333333
CT0157,0.0,1.0
CT0158,1.0,0.08333333333333333
CT0159,1.0,0.08333333333333333
CT0160,0.0,1.0
CT0161,1.0,0.08333333333333333
CT0162,0.3333333333333334,0.75
CT0163,1.0,0.08333333333333333
CT0164,0.0,1.0
CT0165,0.3333333333333334,0.75
CT0166,0.6666666666666669,0.3333333333333333
CT0167,0.0,1.0
CT0168,0.6666666666666669,0.3333333333333333
CT0169,0.0,1.0
CT0170,1.0,0.08333333333333333
CT0171,0.0,1.0
CT0172,1.0,0.08333333333333333
CT0173,0.3333333333333334,0.75
CT0174,0.0,1.0
CT0175,-0.3333333333333334,0.75
CT0176,1.0,0.08333333333333333
CT0177,0.3333333333333334,0.75
CT0178,1.0,0.08333333333333333
CT0179,1.0,0.08333333333333333
CT0180,1.0,0.08333333333333333
CT0181,0.6666666666666669,0.3333333333333333
CT0182,0.3333333333333334,0.75
CT0183,1.0,0.08333333333333333
CT0184,1.0,0.08333333333333333
CT0185,0.0,1.0
CT0186,0.0,1.0
CT0187,0.0,1.0
CT0188,0.6666666666666669,0.3333333333333333
CT0189,0.3333333333333334,0.75
CT0190,0.0,1.0
CT0191,-0.6666666666666669,0.3333333333333333
CT0192,1.0,0.08333333333333333
CT0193,0.0,1.0
CT0194,0.0,1.0
CT0195,0.6666666666666669,0.3333333333333333
CT0196,-0.3333333333333334,0.75
CT0197,0.6666666666666669,0.3333333333333333
CT0198,0.3333333333333334,0.75
CT0199,0.3333333333333334,0.75
CT0200,0.0,1.0
CT0201,1.0,0.08333333333333333
CT0202,0.6666666666666669,0.3333333333333333
CT0203,1.0,0.08333333333333333
CT0204,-0.3333333333333334,0.75
CT0205,-0.3333333333333334,0.75
CT0206,0.6666666666666669,0.3333333333333333
CT0207,0.3333333333333334,0.75
CT0208,0.6666666666666669,0.3333333333333333
CT0209,1.0,0.08333333333333333
CT0210,-0.6666666666666669,0.3333333333333333
CT0211,0.3333333333333334,0.75
CT0212,1.0,0.08333333333333333
CT0213,1.0,0.08333333333333333
CT0214,0.0,1.0
CT0215,1.0,0.08333333333333333
CT0216,-1.0,0.08333333333333333
CT0217,0.6666666666666669,0.3333333333333333
CT0218,0.0,1.0
CT0219,0.6666666666666669,0.3333333333333333
CT0220,0.0,1.0
CT0221,-0.6666666666666669,0.3333333333333333
CT0222,-0.3333333333333334,0.75
CT0223,0.3333333333333334,0.75
CT0224,-0.6666666666666669,0.3333333333333333
CT0225,0.6666666666666669,0.3333333333333333
CT0226,0.0,1.0
CT0227,0.6666666666666669,0.3333333333333333
CT0228,0.6666666666666669,0.3333333333333333
CT0229,0.3333333333333334,0.75
CT0230,-0.3333333333333334,0.75
CT0231,-0.3333333333333334,0.75
CT0232,-0.3333333333333334,0.75
CT0233,1.0,0.08333333333333333
CT0234,0.6666666666666669,0.3333333333333333
CT0235,0.3333333333333334,0.75
CT0236,0.6666666666666669,0.3333333333333333
CT0237,0.6666666666666669,0.3333333333333333
CT0238,0.0,1.0
CT0239,0.6666666666666669,0.3333333333333333
CT0240,0.6666666666666669,0.3333333333333333
CT0241,0.0,1.0
CT0242,-1.0,0.08333333333333333
CT0243,0.3333333333333334,0.75
CT0244,1.0,0.08333333333333333
CT0245,-0.3333333333333334,0.75
CT0246,0.6666666666666669,0.3333333333333333
CT0247,-0.3333333333333334,0.75
CT0248,-1.0,0.08333333333333333
CT0249,0.6666666666666669,0.3333333333333333
CT0250,0.3333333333333334,0.75
CT0251,-0.3333333333333334,0.75
CT0252,0.0,1.0
CT0253,0.6666666666666669,0.3333333333333333
CT0254,0.0,1.0
CT0255,-0.3333333333333334,0.75
CT0256,0.3333333333333334,0.75
CT0257,0.0,1.0
CT0258,0.3333333333333334,0.75
CT0259,0.0,1.0
CT0260,-0.3333333333333334,0.75
CT0261,0.0,1.0
CT0262,0.6666666666666669,0.3333333333333333
CT0263,0.6666666666666669,0.3333333333333333
CT0264,0.3333333333333334,0.75
CT0265,0.3333333333333334,0.75
CT0266,0.6666666666666669,0.3333333333333333
CT0267,-0.3333333333333334,0.75
CT0268,0.6666666666666669,0.3333333333333333
CT0269,0.6666666666666669,0.3333333333333333
CT0270,-0.3333333333333334,0.75
CT0271,0.6666666666666669,0.3333333333333333
CT0272,0.6666666666666669,0.3333333333333333
CT0273,-0.3333333333333334,0.75
CT0274,0.3333333333333334,0.75
CT0275,0.0,1.0
CT0276,0.6666666666666669,0.3333333333333333
CT0277,0.6666666666666669,0.3333333333333333
CT0278,0.0,1.0
CT0279,-0.6666666666666669,0.3333333333333333
CT0280,-0.3333333333333334,0.75
CT0281,0.0,1.0
CT0282,1.0,0.08333333333333333
